48,0.011,0.1074,0.6207,0.0644,0.0019,0.3157,0,0.0716,0.1333,0.0003,0.2339,0.8382,0.1238,1.7157,8.8285,1.2437,11.9064,
49,0.0114,0.1194,0.6916,0.0715,0.0078,0.3308,0.0001,0.074,0.1438,0.0002,0.2199,0.8707,0.122,1.8289,7.6751,0.8628,10.4886,
50,0.0106,0.2107,0.6185,0.0525,0.0016,0.2879,0.0001,0.0645,0.1373,0.0002,0.2062,0.7601,0.1147,1.7263,8.5024,1.0114,11.3627,
51,0.01,0.2184,0.6021,0.0565,0.004,0.297,0.0001,0.0605,0.1489,0.0002,0.2053,0.785,0.1296,1.7576,8.7344,1.1334,11.7479,
52,0.0107,0.2079,0.6335,0.0543,0.002,0.3091,0.0001,0.0708,0.1426,0.0002,0.2148,0.8067,0.114,1.785,8.8377,1.2058,11.9548,
53,0.0107,0.2179,0.6437,0.0551,0.0018,0.3035,0.0001,0.0683,0.1404,0.0002,0.2071,0.7884,0.1267,1.7982,7.0781,1.0382,10.0384,
54,0.0114,0.2167,0.5907,0.0566,0.0034,0.3084,0.0001,0.0617,0.1404,0.0002,0.2146,0.8032,0.1325,1.7654,8.1379,1.2476,11.2725,
55,0.0104,0.2216,0.6368,0.0557,0.0037,0.3017,0.0001,0.0654,0.2521,0.0002,0.2176,0.91,0.1104,1.9018,8.1974,1.062,11.2793,
56,0.0114,0.1906,0.6176,0.0528,0.004,0.3088,0,0.0617,0.1452,0.0002,0.2102,0.8005,0.1205,1.7527,9.1208,1.0337,12.0306,
57,0.0102,0.2334,0.6491,0.0564,0.0048,0.3734,0.0001,0.0707,0.1438,0.0002,0.2025,0.8708,0.1326,1.9085,8.9333,1.2095,12.1671,
58,0.0102,0.2079,0.6331,0.066,0.0076,0.2878,0.0001,0.0626,0.15,0.0002,0.2102,0.7979,0.1291,1.7939,8.2445,1.0538,11.2147,
59,0.0106,0.2219,0.6251,0.0512,0.0034,0.2897,0.0001,0.0542,0.1343,0.0002,0.2093,0.7587,0.1292,1.756,9.0103,1.1117,12.0038,
60,0.0101,0.2211,0.7042,0.0536,0.0043,0.2736,0.0001,0.0677,0.1385,0.0003,0.205,0.7555,0.1164,1.8174,8.9047,1.0947,11.9389,
61,0.0112,0.222,0.6251,0.0517,0.0039,0.2937,0.0001,0.0602,0.1444,0.0002,0.2053,0.7772,0.1094,1.7592,7.7759,1.2385,10.8961,
62,0.0107,0.2131,0.6665,0.0553,0.0021,0.2839,0.0001,0.0567,0.1373,0.0002,0.211,0.7623,0.1184,1.7794,7.6295,1.0683,10.5959,
